PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthRet,MthVol,ShrOut,DisFacPr,vwretd
84398,78462F10,SPY,46699,2011-03-31,132.590000,0.000107,4791180500,690280,0.000000,0.003341
84398,78462F10,SPY,46699,2011-04-29,136.430000,0.028961,2814799500,697980,,0.028597
84398,78462F10,SPY,46699,2011-05-31,134.900000,-0.011215,3339322600,676230,,-0.014948
84398,78462F10,SPY,46699,2011-06-30,131.970000,-0.016887,4712655500,702880,0.000000,-0.018447
84398,78462F10,SPY,46699,2011-07-29,129.330000,-0.020005,3840979100,706430,,-0.022534
84398,78462F10,SPY,46699,2011-08-31,122.220000,-0.054976,9050592000,730980,,-0.057564
84398,78462F10,SPY,46699,2011-09-30,113.150000,-0.069449,6188596100,715080,0.000000,-0.084983
84398,78462F10,SPY,46699,2011-10-31,125.500000,0.109147,5717906600,697880,,0.114146
84398,78462F10,SPY,46699,2011-11-30,124.990000,-0.004064,5014599700,679780,,-0.006270
84398,78462F10,SPY,46699,2011-12-30,125.500000,0.010440,3848635100,694780,0.000000,0.003676
84398,78462F10,SPY,46699,2012-01-31,131.320000,0.046375,2883819900,736680,,0.054106
84398,78462F10,SPY,46699,2012-02-29,137.020000,0.043405,2895247600,736680,,0.041225
84398,78462F10,SPY,46699,2012-03-30,140.810000,0.032157,3057517100,710732,0.000000,0.024020
84398,78462F10,SPY,46699,2012-04-30,139.870000,-0.006676,3035647400,739982,,-0.006829
84398,78462F10,SPY,46699,2012-05-31,131.470000,-0.060056,4004215900,737982,,-0.065590
84398,78462F10,SPY,46699,2012-06-29,136.105000,0.040567,3644913300,756432,0.000000,0.038151
84398,78462F10,SPY,46699,2012-07-31,137.710000,0.011792,2864744100,776882,,0.010307
84398,78462F10,SPY,46699,2012-08-31,141.160000,0.025053,2413591600,765732,,0.026317
84398,78462F10,SPY,46699,2012-09-28,143.970000,0.025356,2391232200,834132,0.000000,0.026513
